award_share,fga,per,ws,ws_per_48,usg_pct,ast_per_g,stl_per_g,blk_per_g
0.627,16.9,23.2,8.7,0.213,27.2,2.4,0.9,2.5
0.001,15.3,19.6,5.0,0.136,25.6,3.0,1.1,1.5
0.109,24.8,20.0,6.9,0.116,34.4,4.7,2.1,0.1
0.303,15.0,25.8,12.9,0.226,28.1,1.6,0.5,3.7
0.079,20.6,23.4,10.7,0.179,28.2,4.6,1.6,1.7
0.001,13.6,19.5,8.0,0.149,23.9,6.1,2.1,0.1
0.149,20.3,23.6,13.9,0.195,26.8,8.9,1.9,0.2
0.093,19.2,24.5,10.7,0.185,30.5,5.2,1.4,0.6
0.001,15.0,16.7,7.3,0.118,23.2,4.0,1.1,0.6
0.021,12.8,18.4,8.5,0.156,20.0,10.1,2.0,0.4
0.258,18.0,27.1,15.3,0.249,31.9,3.7,1.0,0.9
0.337,18.8,23.6,11.6,0.172,27.4,5.0,1.5,1.6
0.002,17.9,21.7,10.6,0.202,26.8,4.9,1.6,0.9
0.001,20.0,19.2,8.3,0.114,25.1,5.3,1.3,0.4
0.001,12.9,17.3,10.1,0.162,20.5,2.3,1.0,0.3
0.998,21.1,30.6,18.6,0.283,31.2,3.8,0.5,3.0
0.205,17.3,24.8,13.0,0.218,28.7,3.2,0.9,2.2
0.042,20.7,23.4,11.8,0.182,30.0,3.9,1.3,1.1
0.904,25.5,24.0,11.8,0.19,35.9,4.6,2.5,0.3
0.001,11.9,17.4,11.6,0.171,20.0,3.1,1.0,0.3
0.42,23.4,24.7,11.0,0.186,31.6,4.2,1.3,1.7
0.006,10.3,23.7,12.1,0.246,22.8,1.5,1.0,2.5
0.015,14.2,19.4,9.6,0.15,22.7,9.8,2.2,0.3
