RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
70,Joel Embiid,Phi,C-F,28.26,10,38.5,80.3,28.3,13.8,89,0.82,128,0.555,33,0.212,0.506,0.59,23.6,10.7,17,2.1,9.9,0.4,0.8,3.2,8.4,110,103.7
71,Dorian Finney-Smith,Dal,F,29.12,18,38.2,79.6,12.8,9.7,24,0.708,49,0.571,108,0.426,0.618,0.63,11.7,5.5,8.4,1.9,7.8,0.94,0.39,1,5.2,125.2,106.2
72,Malik Fitts,Bos,F,20,9,1.8,3.7,11.3,0,0,0,2,0.5,2,1,1,1,0.9,0.2,7.1,0,0,0,0,0,0,,
73,Malachi Flynn,Tor,G,24.1,6,6.1,12.6,10.2,12.5,0,0,4,0,3,0,0,0,0,0.5,5.1,0.5,10.5,0.17,0,0.17,0,40.7,100.4
74,Bryn Forbes,Den,G,28.9,5,15.3,31.8,10.9,10.4,5,0.8,4,0.5,11,0.364,0.533,0.581,4,0.6,2.4,1.4,12.3,0.2,0,0.4,3.9,120.8,110.3
75,Danilo Gallinari,Atl,F,33.86,5,22.3,46.5,22.6,9.1,11,1,30,0.467,15,0.267,0.444,0.512,10.2,4.2,11.4,0.8,6.5,0.2,0,1,5.8,100.9,112.3
76,Rudy Gobert,Uta,C,29.97,6,32.8,68.4,14.4,13.3,44,0.682,33,0.636,0,0,0.636,0.688,12,13.2,23.3,0.5,2.4,0.17,1,1.33,5.2,136.7,100.7
77,Aaron Gordon,Den,F,26.75,5,32,66.8,20.2,10.8,28,0.714,39,0.513,15,0.2,0.454,0.52,13.8,7.2,13.9,2.6,12,0.4,1.2,1.6,8,114.4,108.5
78,Devonte' Graham,Nor,G,27.32,6,10,20.9,18.3,15.7,8,0.875,4,0.25,14,0.357,0.472,0.558,4,1.5,8.8,0.7,9.3,0.17,0.17,0.67,6.5,107.7,112.6
79,Danny Green,Phi,G,34.99,12,26.6,55.5,15.1,12.7,1,0,13,0.385,76,0.408,0.579,0.576,8.6,3.1,7.1,0.8,4.9,0.92,0.33,1.08,4.2,103.9,108.1
80,Draymond Green,Gol,F,32.29,22,32,66.6,14,26.4,47,0.638,105,0.581,39,0.205,0.507,0.534,8,7.3,12.8,6.3,25.7,1.14,1,2.68,9,106.8,96.6
81,Javonte Green,Chi,G-F,28.9,5,14.3,29.8,13.4,18.3,2,0.5,11,0.273,6,0,0.176,0.196,1.4,3,10.5,0.4,3.9,1.8,0,0.8,3.3,64.4,99.5
82,JaMychal Green,Den,F-C,31.99,5,13.7,28.6,13.4,9.5,7,1,11,0.455,5,0.2,0.406,0.524,4,2.4,10.8,0.4,4,0,0.2,0.4,4.6,110.9,99.1
83,Jeff Green,Den,F,35.8,5,22.7,47.3,8.1,9.4,5,0.8,9,0.333,8,0.375,0.441,0.495,3.8,3.6,9.8,0.4,2.3,0.6,0.4,0.4,3.1,113.1,111.8
84,Josh Green,Dal,G,21.58,16,7.6,15.8,12.3,0,8,0.25,6,0.5,22,0.227,0.375,0.365,1.4,0.8,5.8,0.4,8.4,0.31,0,0,4,88.3,99.2
85,Blake Griffin,Bro,F,33.26,2,12.8,26.6,16,11.3,2,1,2,0,5,0.4,0.429,0.508,4,2,10.2,2,21.2,0.5,0.5,0.5,7.9,121.8,105.8
86,James Harden,Phi,G,32.81,12,39.9,83.1,23.7,20.7,75,0.893,82,0.439,76,0.368,0.494,0.584,18.6,5.7,8.7,8.6,34.8,0.75,0.75,4.17,9.7,111.4,109.4
87,Tobias Harris,Phi,F,29.92,12,38.8,80.9,19.1,9.5,22,0.864,105,0.562,57,0.386,0.568,0.591,16.9,7.6,12,2.9,13,1.08,0.83,1.5,7.4,113.9,105.5
88,Sam Hauser,Bos,F,24.52,7,2.1,4.4,14.9,0,2,1,1,0,3,0.333,0.375,0.512,0.7,0.1,3.8,0.3,19.5,0,0,0,5.3,,
89,Jaxson Hayes,Nor,C-F,22.07,6,13.8,28.8,17.6,11.8,11,0.636,22,0.636,3,0,0.56,0.586,5.8,2.5,10.7,0.2,1.9,0,0.33,0.67,4.1,109.4,104
90,Juancho Hernangomez,Uta,F,26.72,6,9.3,19.4,16.8,10,0,0,6,0.167,12,0.333,0.389,0.389,2.3,2,12.5,0.8,14,0.33,0,0.33,6.6,92.4,104.7
91,Willy Hernangomez,Nor,C-F,28.06,1,1.9,4,90.6,0,0,0,3,0.333,1,0,0.25,0.25,2,2,62.1,0,0,0,0,0,0,,
92,Tyler Herro,Mia,G,22.41,15,25.4,52.9,25.7,12.3,27,0.926,111,0.523,70,0.229,0.453,0.49,12.6,3.8,8.8,2.8,18.4,0.6,0.4,1.8,8.1,96.8,106.9
93,Haywood Highsmith,Mia,F,25.52,8,3.9,8.1,14.3,30,0,0,2,0,5,0.6,0.643,0.643,1.1,0.6,9.5,0.4,13.9,0,0,0.38,6.6,,
94,George Hill,Mil,G,36.12,5,15.3,31.8,3.9,14.5,2,1,3,0,2,0.5,0.3,0.425,1,1.2,4,0.6,5,0,0,0.2,2.3,103.7,103.7
95,Aaron Holiday,Pho,G,25.71,6,3.3,6.8,33.7,0,1,0,7,0.429,7,0.714,0.75,0.727,3.5,0.5,8.9,1.5,101.2,0.5,0.17,0,16.7,,
96,Jrue Holiday,Mil,G,32.01,12,38.6,80.4,26.4,12,31,0.839,156,0.41,79,0.316,0.432,0.461,19.1,5.6,7.4,6.5,27.6,1.75,0.58,2.83,9.2,97.7,107
97,Al Horford,Bos,C-F,36.04,23,35.4,73.8,13.1,12.2,36,0.778,95,0.568,98,0.48,0.645,0.663,12,9.3,14.8,3.3,14.6,0.83,1.35,1.26,8.1,129.9,100
98,Danuel House Jr.,Uta,F-G,29.03,6,18.6,38.8,13.2,19,8,0.75,12,0.583,10,0.2,0.455,0.509,4.3,2.8,8.9,0.7,5.5,0,0.17,1,4.4,93.7,109.1
99,Kevin Huerter,Atl,G-F,23.81,5,30.7,64,17.9,18.4,4,0.75,16,0.5,31,0.29,0.457,0.472,9.2,3,5.9,3.8,20.4,1.2,0.6,2.2,6.1,92.1,107.7
100,De'Andre Hunter,Atl,F-G,24.54,5,34.9,72.8,23.7,12.2,20,0.8,44,0.614,26,0.462,0.643,0.673,21.2,3.8,6.6,0.6,3.5,0.8,0.2,2.2,4.2,115.2,106.7
101,Bones Hyland,Den,G,21.75,5,17.3,36.1,24.2,12.5,14,0.857,13,0.385,23,0.348,0.472,0.546,9.2,2,7.1,3.2,27.5,0.2,0,1.2,9,112.4,103.2
102,Serge Ibaka,Mil,F,32.75,6,3.7,7.7,37,10.6,2,0.5,13,0.308,3,0,0.25,0.267,1.5,1.7,23.2,0,0,0,0,0.33,0,,
103,Andre Iguodala,Gol,G-F,38.38,7,8.8,18.3,10.2,27.9,3,0.667,6,0.5,3,0.333,0.5,0.533,1.6,1,6.4,1.7,24.5,0,0.29,0.57,6.3,115.6,96.3
104,Brandon Ingram,Nor,F,24.79,6,39.3,81.8,29.5,14.2,47,0.83,91,0.495,27,0.407,0.521,0.584,27,6.2,9.3,6.2,27.3,0.67,0.33,3.83,10.3,111.8,112.2
105,Kyrie Irving,Bro,G,30.23,4,42.6,88.8,21.9,11.1,21,1,42,0.476,21,0.381,0.508,0.588,21.3,5.3,8,5.3,18.8,1.75,1.25,2.25,7.9,120.3,110
106,Jaren Jackson Jr.,Mem,F-C,22.75,12,27.7,57.6,24.1,8.2,53,0.755,84,0.381,72,0.375,0.465,0.516,15.4,6.7,12.7,0.9,5.1,0.75,2.5,1.33,6.5,108,96.1
107,Isaiah Joe,Phi,G,22.96,7,2.1,4.4,25.6,37.5,0,0,2,0.5,3,0.333,0.5,0.5,0.7,0.3,8.3,0,0,0,0,0.43,0,,
108,Cameron Johnson,Pho,F,26.29,13,24.6,51.3,18,9.6,32,0.813,40,0.6,59,0.373,0.576,0.619,10.8,3.5,8.4,1.5,8.7,0.38,0.08,0.92,6.2,120.1,104.2
